Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
1455,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
5101,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
9379,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
486,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
8410,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
9795,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,0,Task Completed,False
2600,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,3,Task Completed,False
1467,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
6354,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
9301,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
2251,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
687,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
6510,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
3965,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
795,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
5249,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,1,Task Completed,False
5053,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
5847,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
2286,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
7802,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
9828,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,5,Task Completed,False
350,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
2200,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
2865,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,6,High Collision,True
2797,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
7268,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
2133,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,1,Task Completed,False
6684,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
3994,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
9453,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,1,Task Completed,False
139,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
