#Trials, envID, #Lava, #Goal, #AvgReward, #RewardSD
10, 1, 10, 0, -7.0, 0.0
10, 2, 10, 0, -1.0, 0.0
10, 3, 10, 0, -6.0, 0.0
10, 4, 10, 0, -2.0, 0.0
10, 5, 10, 0, -1.0, 0.0
10, 6, 0, 10, 92.0, 0.0
10, 7, 10, 0, -1.0, 0.0
