Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_346,False,1.44
Unknown,Result_ACAS_5_9472,Env_430,Task_389,False,0.26
Unknown,Result_ACAS_5_9472,Env_430,Task_244,False,1.34
Unknown,Result_ACAS_5_9472,Env_430,Task_396,False,1.31
Unknown,Result_ACAS_5_9472,Env_430,Task_40,False,1.47
Unknown,Result_ACAS_5_9472,Env_430,Task_285,False,0.54
Unknown,Result_ACAS_5_9472,Env_430,Task_489,False,1.5
Unknown,Result_ACAS_5_9472,Env_430,Task_188,False,0.21
Unknown,Result_ACAS_5_9472,Env_430,Task_584,False,1.15
Unknown,Result_ACAS_5_9472,Env_430,Task_494,False,0.74
Unknown,Result_ACAS_5_9472,Env_430,Task_412,False,1.1
Unknown,Result_ACAS_5_9472,Env_430,Task_26,False,0.53
Unknown,Result_ACAS_5_9472,Env_430,Task_541,False,1.07
Unknown,Result_ACAS_5_9472,Env_430,Task_337,False,0.58
Unknown,Result_ACAS_5_9472,Env_430,Task_613,False,0.41
Unknown,Result_ACAS_5_9472,Env_430,Task_347,False,1.4
Unknown,Result_ACAS_5_9472,Env_430,Task_413,False,1.02
Unknown,Result_ACAS_5_9472,Env_430,Task_610,False,1.01
Unknown,Result_ACAS_5_9472,Env_430,Task_566,False,0.11
Unknown,Result_ACAS_5_9472,Env_430,Task_431,False,0.89
Unknown,Result_ACAS_5_9472,Env_430,Task_450,False,0.59
Unknown,Result_ACAS_5_9472,Env_430,Task_139,False,1.12
Unknown,Result_ACAS_5_9472,Env_430,Task_155,False,0.26
Unknown,Result_ACAS_5_9472,Env_430,Task_578,False,0.26
Unknown,Result_ACAS_5_9472,Env_430,Task_168,False,1.09
Unknown,Result_ACAS_5_9472,Env_430,Task_276,False,0.8
Unknown,Result_ACAS_5_9472,Env_430,Task_175,False,0.12
Unknown,Result_ACAS_5_9472,Env_430,Task_152,False,1.31
Unknown,Result_ACAS_5_9472,Env_430,Task_410,False,1.25
Unknown,Result_ACAS_5_9472,Env_430,Task_592,False,0.91
Unknown,Result_ACAS_5_9472,Env_430,Task_433,False,0.71
Unknown,Result_ACAS_5_9472,Env_430,Task_251,False,0.64
Unknown,Result_ACAS_5_9472,Env_430,Task_154,False,1.16
Unknown,Result_ACAS_5_9472,Env_430,Task_589,False,0.41
Unknown,Result_ACAS_5_9472,Env_430,Task_69,False,1.54
Unknown,Result_ACAS_5_9472,Env_430,Task_421,False,1.16
Unknown,Result_ACAS_5_9472,Env_430,Task_548,False,0.44
